lambda,P1,P2,P3,R,RMSE
25.6,-242136993.0,144676220000.0,-7271674550000.0,0.96,822340432000.0,
28.4,-215749026.0,147186233000.0,-5255503360000.0,0.92,1362575380000.0,
30.3,-1053748870.0,615749059000.0,22187026500000.0,0.94,4361298790000.0,
36.8,-367641064.0,223500665000.0,-3441077140000.0,0.93,1767128650000.0,
46.5,-9164289.47,11057687000.0,3461270700000.0,0.84,199324850000.0,
55.4,-74554094.2,27014326800.0,6204988280000.0,0.6,421493552000.0,
58.4,-267242090.0,126513904000.0,5228466170000.0,0.91,960988214000.0,
60.9,-175317009.0,78431152100.0,256019089000.0,0.94,450958343000.0,
62.9,-195380036.0,85711619300.0,6109324070000.0,0.89,688675932000.0,
70.3,-39289231.6,16225586900.0,3311330720000.0,0.78,184543928000.0,
76.5,-28065539.2,14854936500.0,5227261130000.0,0.72,263413854000.0,
77.0,-14268244.4,16411603200.0,4198046720000.0,0.88,242046487000.0,
78.9,-51375284.1,26784575400.0,6256699260000.0,0.81,356475663000.0,
97.8,-460750790.0,384479195000.0,31111576400000.0,0.9,4649017970000.0,
102.6,-745028477.0,475205812000.0,18962152600000.0,0.93,4089526350000.0,
103.2,-618608147.0,373585739000.0,22445979600000.0,0.94,2813571000000.0,
121.6,-28140884500.0,22547500600000.0,2622037060000000.0,0.92,235540620000000.0,